Episode,Reward,Final Stack,Loss
1020,-610,20,154320.140625
1021,-20,990,155588.171875
1022,500,520,131262.453125
1023,-510,510,178996.875
1024,-510,0,122312.84375
1025,510,520,120791.8671875
1026,280,290,146916.953125
1027,150,170,142991.203125
1028,90,110,143751.71875
1029,500,500,183716.40625
1030,-750,10,125963.96875
1031,-20,990,146354.15625
1032,-520,980,193146.46875
1033,-510,970,155210.15625
1034,-930,20,156329.21875
1035,500,550,137005.453125
1036,-20,540,116676.6796875
1037,-520,10,166283.78125
1038,-20,990,131670.0
1039,-20,980,160581.984375
1040,500,510,162680.90625
1041,-520,300,127346.09375
1042,20,310,123060.9375
1043,-510,300,188878.28125
1044,20,310,147040.65625
1045,10,310,136389.265625
1046,-20,300,146290.59375
1047,-510,290,104275.515625
1048,150,170,129024.890625
1049,-510,160,165788.78125
1050,-580,10,166304.953125
1051,510,520,127511.8828125
1052,270,280,136466.703125
1053,20,290,142058.03125
1054,20,300,133591.140625
1055,-500,10,131580.09375
1056,1000,1010,146814.1875
1057,-910,20,126239.4609375
1058,-30,990,144257.0625
1059,-660,20,102677.8046875
1060,510,520,157468.953125
1061,270,280,144893.84375
1062,-20,270,137948.9375
1063,140,160,106997.984375
1064,-20,150,185328.0
1065,20,160,151834.234375
1066,90,100,127141.546875
1067,510,520,194001.859375
1068,-330,10,137829.234375
1069,-20,990,119162.5
1070,-20,980,157398.78125
1071,-1000,10,120279.875
1072,-510,990,116036.4453125
1073,500,520,101392.625
1074,-510,510,174231.0
1075,260,280,184900.8125
1076,-580,10,133659.09375
1077,510,520,158802.796875
1078,20,530,132203.28125
1079,500,500,132518.90625
1080,-750,10,132289.09375
1081,510,520,130308.75
1082,270,280,132671.21875
1083,150,160,133173.765625
1084,-530,10,135406.984375
1085,-510,10,118601.3046875
1086,510,520,138898.96875
1087,-270,10,129584.5234375
1088,510,520,129958.9375
1089,270,280,114333.9140625
1090,180,190,154866.953125
1091,-60,180,106237.0546875
1092,100,110,151036.703125
1093,-20,100,176251.375
1094,510,520,154015.953125
1095,-430,10,111267.4765625
1096,-510,990,164801.703125
1097,500,520,145807.4375
1098,270,280,181335.265625
1099,-340,10,196021.1875
1100,20,1010,134067.265625
1101,-510,1000,134297.75
1102,1000,1010,173504.0
1103,-20,1000,166879.265625
1104,510,520,136521.53125
1105,-460,10,177482.484375
1106,510,520,143040.90625
1107,-510,510,142411.328125
1108,260,280,145484.015625
1109,-510,10,143909.59375
1110,-530,10,141351.8125
1111,-610,10,169286.765625
1112,510,520,201051.875
1113,-270,10,131489.0625
1114,510,520,173417.984375
1115,270,280,152816.5625
